mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_ninth,NINTH,LEAP,Buildings/Services,Coke oven gas,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Electricity,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,17_electricity,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Fuel oil,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_08_fuel_oil,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Fuelwood and woodwaste,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,15_01_fuelwood_and_woodwaste,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Gas and diesel oil,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_07_gas_diesel_oil,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Gas works gas,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,08_03_gas_works_gas,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Geothermal,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,11_geothermal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Heat,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,18_heat,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Hydrogen,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_x_hydrogen,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Industrial waste,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_02_industrial_waste,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Kerosene,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_06_kerosene,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Kerosene type jet fuel,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_x_jet_fuel,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,LPG,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_09_lpg,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Lignite,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,01_05_lignite,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Motor gasoline,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_01_motor_gasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
