mapping_name,comparison_scope,source_system,source_product,target_system,target_product,relationship_semantics,notes
leap_to_esto,BOTH,LEAP,Anthracite,ESTO,01.03 Sub-bituminous coal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Aviation gasoline,ESTO,07.01 Motor gasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,BKB and PB,ESTO,02.07 Coal tar,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Bagasse,ESTO,04 Peat products,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Bagasse,ESTO,15.02 Bagasse,one_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biodiesel,ESTO,16.05 Biogasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biogas,ESTO,15.05 Other biomass,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biogasoline,ESTO,16.04 Municipal solid waste (non-renewable),many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Blast furnace gas,ESTO,02.03 Coke oven gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Charcoal,ESTO,15.01 Fuelwood & woodwaste,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coal tar,ESTO,02.06 Patent fuel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coke oven coke,ESTO,01.05 Lignite,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coke oven gas,ESTO,02.01 Coke oven coke,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Electricity,ESTO,16.12 Hydrogen,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Fuel oil,ESTO,07.07 Gas/diesel oil,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Fuelwood and woodwaste,ESTO,12.99 Solar nonspecified,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas and diesel oil,ESTO,07.06 Kerosene,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas works gas,ESTO,08.01 Natural gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Geothermal,ESTO,08.03 Gas works gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Heat,ESTO,17 Electricity,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Hydrogen,ESTO,16.06 Biodiesel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industrial waste,ESTO,16.01 Biogas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Kerosene,ESTO,07.05 Kerosene type jet fuel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Kerosene type jet fuel,ESTO,07.02 Aviation gasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,LPG,ESTO,07.08 Fuel oil,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Lignite,ESTO,01.04 Anthracite,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Motor gasoline,ESTO,02.08 BKB/PB,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Municipal solid waste non renewable,ESTO,16.03 Municipal solid waste (renewable),many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Municipal solid waste renewable,ESTO,16.02 Industrial waste,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Natural gas,ESTO,07.09 LPG,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other biomass,ESTO,15.03 Charcoal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other recovered gases,ESTO,02.04 Blast furnace gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Patent fuel,ESTO,02.05 Other recovered gases,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Peat,ESTO,18 Heat,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Peat products,ESTO,03 Peat,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Solar nonspecified,ESTO,11 Geothermal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Sub bituminous coal,ESTO,01.02 Other bituminous coal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Ammonia,ESTO,16.10 Ammonia,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Bitumen,ESTO,07.14 Bitumen,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Black liquor,ESTO,15.04 Black liquor,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Crude oil,ESTO,06.01 Crude oil,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Naphtha,ESTO,07.03 Naphtha,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Nuclear,ESTO,09 Nuclear,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other liquid biofuels,ESTO,16.08 Other liquid biofuels,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other sources,ESTO,16.09 Other sources,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Refinery feedstocks,ESTO,06.03 Refinery feedstocks,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Refinery gas not liquefied,ESTO,07.10 Refinery gas (not liquefied),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gasoline type jet fuel,ESTO,07.04 Gasoline type jet fuel,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other hydrocarbons,ESTO,06.05 Other hydrocarbons,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas coke,ESTO,02.02 Gas coke,one_to_one,Derived from active reviewed pair mappings; prototype only.
