comparison_scope,component_esto_flow,component_esto_product,current_component_signature,compiled_component_signature,membership_status
esto_extended_leap,02 Imports,07.06 Kerosene,02 Imports::07.06 Kerosene,02 Imports::07.06 Kerosene,unchanged
esto_extended_leap,02 Imports,07.07 Gas/diesel oil,02 Imports::07.07 Gas/diesel oil,02 Imports::07.07 Gas/diesel oil,unchanged
esto_extended_leap,02 Imports,07.08 Fuel oil,02 Imports::07.08 Fuel oil,02 Imports::07.08 Fuel oil,unchanged
esto_extended_leap,02 Imports,07.09 LPG,02 Imports::07.09 LPG,02 Imports::07.09 LPG,unchanged
esto_extended_leap,02 Imports,07.10 Refinery gas (not liquefied),02 Imports::07.10 Refinery gas (not liquefied),02 Imports::07.10 Refinery gas (not liquefied),unchanged
esto_extended_leap,02 Imports,07.11 Ethane,02 Imports::07.11 Ethane,02 Imports::07.11 Ethane,unchanged
esto_extended_leap,02 Imports,07.12 White spirit SBP,02 Imports::07.12 White spirit SBP,02 Imports::07.12 White spirit SBP,unchanged
esto_extended_leap,02 Imports,07.13 Lubricants,02 Imports::07.13 Lubricants,02 Imports::07.13 Lubricants,unchanged
esto_extended_leap,02 Imports,07.14 Bitumen,02 Imports::07.14 Bitumen,02 Imports::07.14 Bitumen,unchanged
esto_extended_leap,02 Imports,07.15 Paraffin waxes,02 Imports::07.15 Paraffin waxes,02 Imports::07.15 Paraffin waxes,unchanged
esto_extended_leap,02 Imports,07.16 Petroleum coke,02 Imports::07.16 Petroleum coke,02 Imports::07.16 Petroleum coke,unchanged
esto_extended_leap,02 Imports,07.17 Other products,02 Imports::07.17 Other products,02 Imports::07.17 Other products,unchanged
esto_extended_leap,02 Imports,07.99 PetProd nonspecified,02 Imports::07.99 PetProd nonspecified,02 Imports::07.99 PetProd nonspecified,unchanged
esto_extended_leap,02 Imports,08.01 Natural gas,02 Imports::08.01 Natural gas,02 Imports::08.01 Natural gas,unchanged
esto_extended_leap,02 Imports,08.02 LNG,02 Imports::08.02 LNG,02 Imports::08.02 LNG,unchanged
esto_extended_leap,02 Imports,08.03 Gas works gas,02 Imports::08.03 Gas works gas,02 Imports::08.03 Gas works gas,unchanged
esto_extended_leap,02 Imports,08.99 Gas nonspecified,02 Imports::08.99 Gas nonspecified,02 Imports::08.99 Gas nonspecified,unchanged
esto_extended_leap,02 Imports,09 Nuclear,02 Imports::09 Nuclear,02 Imports::09 Nuclear,unchanged
esto_extended_leap,02 Imports,10 Hydro,02 Imports::10 Hydro,02 Imports::10 Hydro,unchanged
esto_extended_leap,02 Imports,11 Geothermal,02 Imports::11 Geothermal,02 Imports::11 Geothermal,unchanged
esto_extended_leap,02 Imports,12.01 of which: Photovoltaics,02 Imports::12.01 of which: Photovoltaics,02 Imports::12.01 of which: Photovoltaics,unchanged
esto_extended_leap,02 Imports,12.99 Solar nonspecified,02 Imports::12.99 Solar nonspecified,02 Imports::12.99 Solar nonspecified,unchanged
esto_extended_leap,02 Imports,"13 Tide, wave, ocean","02 Imports::13 Tide, wave, ocean","02 Imports::13 Tide, wave, ocean",unchanged
esto_extended_leap,02 Imports,14 Wind,02 Imports::14 Wind,02 Imports::14 Wind,unchanged
esto_extended_leap,02 Imports,15.01 Fuelwood & woodwaste,02 Imports::15.01 Fuelwood & woodwaste,02 Imports::15.01 Fuelwood & woodwaste,unchanged
esto_extended_leap,02 Imports,15.02 Bagasse,02 Imports::15.02 Bagasse,02 Imports::15.02 Bagasse,unchanged
esto_extended_leap,02 Imports,15.03 Charcoal,02 Imports::15.03 Charcoal,02 Imports::15.03 Charcoal,unchanged
esto_extended_leap,02 Imports,15.04 Black liquor,02 Imports::15.04 Black liquor,02 Imports::15.04 Black liquor,unchanged
esto_extended_leap,02 Imports,15.05 Other biomass,02 Imports::15.05 Other biomass,02 Imports::15.05 Other biomass,unchanged
esto_extended_leap,02 Imports,16.01 Biogas,02 Imports::16.01 Biogas,02 Imports::16.01 Biogas,unchanged
esto_extended_leap,02 Imports,16.02 Industrial waste,02 Imports::16.02 Industrial waste,02 Imports::16.02 Industrial waste,unchanged
esto_extended_leap,02 Imports,16.03 Municipal solid waste (renewable),02 Imports::16.03 Municipal solid waste (renewable),02 Imports::16.03 Municipal solid waste (renewable),unchanged
esto_extended_leap,02 Imports,16.04 Municipal solid waste (non-renewable),02 Imports::16.04 Municipal solid waste (non-renewable),02 Imports::16.04 Municipal solid waste (non-renewable),unchanged
esto_extended_leap,02 Imports,16.05 Biogasoline,02 Imports::16.05 Biogasoline,02 Imports::16.05 Biogasoline,unchanged
esto_extended_leap,02 Imports,16.06 Biodiesel,02 Imports::16.06 Biodiesel,02 Imports::16.06 Biodiesel,unchanged
esto_extended_leap,02 Imports,16.07 Bio jet kerosene,02 Imports::16.07 Bio jet kerosene,02 Imports::16.07 Bio jet kerosene,unchanged
esto_extended_leap,02 Imports,16.08 Other liquid biofuels,02 Imports::16.08 Other liquid biofuels,02 Imports::16.08 Other liquid biofuels,unchanged
esto_extended_leap,02 Imports,16.09 Other sources,02 Imports::16.09 Other sources,02 Imports::16.09 Other sources,unchanged
esto_extended_leap,02 Imports,16.10 Ammonia,02 Imports::16.10 Ammonia,02 Imports::16.10 Ammonia,unchanged
esto_extended_leap,02 Imports,16.11 E-fuel,02 Imports::16.11 E-fuel,02 Imports::16.11 E-fuel,unchanged
esto_extended_leap,02 Imports,16.12 Hydrogen,02 Imports::16.12 Hydrogen,02 Imports::16.12 Hydrogen,unchanged
esto_extended_leap,02 Imports,17 Electricity,02 Imports::17 Electricity,02 Imports::17 Electricity,unchanged
esto_extended_leap,02 Imports,18 Heat,02 Imports::18 Heat,02 Imports::18 Heat,unchanged
esto_extended_leap,03 Exports,01.01 Coking coal,03 Exports::01.01 Coking coal,03 Exports::01.01 Coking coal,unchanged
esto_extended_leap,03 Exports,01.02 Other bituminous coal,03 Exports::01.02 Other bituminous coal,03 Exports::01.02 Other bituminous coal,unchanged
esto_extended_leap,03 Exports,01.03 Sub-bituminous coal,03 Exports::01.03 Sub-bituminous coal,03 Exports::01.03 Sub-bituminous coal,unchanged
esto_extended_leap,03 Exports,01.04 Anthracite,03 Exports::01.04 Anthracite,03 Exports::01.04 Anthracite,unchanged
esto_extended_leap,03 Exports,01.05 Lignite,03 Exports::01.05 Lignite,03 Exports::01.05 Lignite,unchanged
esto_extended_leap,03 Exports,01.99 Coal nonspecified,03 Exports::01.99 Coal nonspecified,03 Exports::01.99 Coal nonspecified,unchanged
esto_extended_leap,03 Exports,02.01 Coke oven coke,03 Exports::02.01 Coke oven coke,03 Exports::02.01 Coke oven coke,unchanged
esto_extended_leap,03 Exports,02.02 Gas coke,03 Exports::02.02 Gas coke,03 Exports::02.02 Gas coke,unchanged
esto_extended_leap,03 Exports,02.03 Coke oven gas,03 Exports::02.03 Coke oven gas,03 Exports::02.03 Coke oven gas,unchanged
esto_extended_leap,03 Exports,02.04 Blast furnace gas,03 Exports::02.04 Blast furnace gas,03 Exports::02.04 Blast furnace gas,unchanged
esto_extended_leap,03 Exports,02.05 Other recovered gases,03 Exports::02.05 Other recovered gases,03 Exports::02.05 Other recovered gases,unchanged
esto_extended_leap,03 Exports,02.06 Patent fuel,03 Exports::02.06 Patent fuel,03 Exports::02.06 Patent fuel,unchanged
esto_extended_leap,03 Exports,02.07 Coal tar,03 Exports::02.07 Coal tar,03 Exports::02.07 Coal tar,unchanged
esto_extended_leap,03 Exports,02.08 BKB/PB,03 Exports::02.08 BKB/PB,03 Exports::02.08 BKB/PB,unchanged
esto_extended_leap,03 Exports,03 Peat,03 Exports::03 Peat,03 Exports::03 Peat,unchanged
esto_extended_leap,03 Exports,04 Peat products,03 Exports::04 Peat products,03 Exports::04 Peat products,unchanged
esto_extended_leap,03 Exports,05 Oil shale and oil sands,03 Exports::05 Oil shale and oil sands,03 Exports::05 Oil shale and oil sands,unchanged
esto_extended_leap,03 Exports,06.01 Crude oil,03 Exports::06.01 Crude oil,03 Exports::06.01 Crude oil,unchanged
esto_extended_leap,03 Exports,06.02 Natural gas liquids,03 Exports::06.02 Natural gas liquids,03 Exports::06.02 Natural gas liquids,unchanged
esto_extended_leap,03 Exports,06.03 Refinery feedstocks,03 Exports::06.03 Refinery feedstocks,03 Exports::06.03 Refinery feedstocks,unchanged
esto_extended_leap,03 Exports,06.04 Additives/ oxygenates,03 Exports::06.04 Additives/ oxygenates,03 Exports::06.04 Additives/ oxygenates,unchanged
esto_extended_leap,03 Exports,06.05 Other hydrocarbons,03 Exports::06.05 Other hydrocarbons,03 Exports::06.05 Other hydrocarbons,unchanged
esto_extended_leap,03 Exports,07.01 Motor gasoline,03 Exports::07.01 Motor gasoline,03 Exports::07.01 Motor gasoline,unchanged
esto_extended_leap,03 Exports,07.02 Aviation gasoline,03 Exports::07.02 Aviation gasoline,03 Exports::07.02 Aviation gasoline,unchanged
esto_extended_leap,03 Exports,07.03 Naphtha,03 Exports::07.03 Naphtha,03 Exports::07.03 Naphtha,unchanged
esto_extended_leap,03 Exports,07.04 Gasoline type jet fuel,03 Exports::07.04 Gasoline type jet fuel,03 Exports::07.04 Gasoline type jet fuel,unchanged
esto_extended_leap,03 Exports,07.05 Kerosene type jet fuel,03 Exports::07.05 Kerosene type jet fuel,03 Exports::07.05 Kerosene type jet fuel,unchanged
esto_extended_leap,03 Exports,07.06 Kerosene,03 Exports::07.06 Kerosene,03 Exports::07.06 Kerosene,unchanged
esto_extended_leap,03 Exports,07.07 Gas/diesel oil,03 Exports::07.07 Gas/diesel oil,03 Exports::07.07 Gas/diesel oil,unchanged
esto_extended_leap,03 Exports,07.08 Fuel oil,03 Exports::07.08 Fuel oil,03 Exports::07.08 Fuel oil,unchanged
esto_extended_leap,03 Exports,07.09 LPG,03 Exports::07.09 LPG,03 Exports::07.09 LPG,unchanged
esto_extended_leap,03 Exports,07.10 Refinery gas (not liquefied),03 Exports::07.10 Refinery gas (not liquefied),03 Exports::07.10 Refinery gas (not liquefied),unchanged
esto_extended_leap,03 Exports,07.11 Ethane,03 Exports::07.11 Ethane,03 Exports::07.11 Ethane,unchanged
esto_extended_leap,03 Exports,07.12 White spirit SBP,03 Exports::07.12 White spirit SBP,03 Exports::07.12 White spirit SBP,unchanged
esto_extended_leap,03 Exports,07.13 Lubricants,03 Exports::07.13 Lubricants,03 Exports::07.13 Lubricants,unchanged
