mapping_name,source_sheet,workbook_row_number,source_system,source_flow,source_product,target_system,target_flow,target_product,target_pair_is_subtotal,comparison_scope,notes,diagnostic_reason
ninth_to_esto,ninth_pairs_to_esto_pairs,2448,NINTH,,,ESTO,11 Statistical discrepancy,08.03 Gas works gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2449,NINTH,,,ESTO,11 Statistical discrepancy,09 Nuclear,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2450,NINTH,,,ESTO,11 Statistical discrepancy,10 Hydro,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2451,NINTH,,,ESTO,11 Statistical discrepancy,11 Geothermal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2452,NINTH,,,ESTO,11 Statistical discrepancy,12.01 of which: Photovoltaics,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2453,NINTH,,,ESTO,11 Statistical discrepancy,12.99 Solar nonspecified,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2454,NINTH,,,ESTO,11 Statistical discrepancy,14 Wind,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2455,NINTH,,,ESTO,11 Statistical discrepancy,15.01 Fuelwood & woodwaste,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2456,NINTH,,,ESTO,11 Statistical discrepancy,15.02 Bagasse,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2457,NINTH,,,ESTO,11 Statistical discrepancy,15.03 Charcoal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2458,NINTH,,,ESTO,11 Statistical discrepancy,15.04 Black liquor,True,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2459,NINTH,,,ESTO,11 Statistical discrepancy,15.05 Other biomass,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2460,NINTH,,,ESTO,11 Statistical discrepancy,16.01 Biogas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2461,NINTH,,,ESTO,11 Statistical discrepancy,16.02 Industrial waste,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2462,NINTH,,,ESTO,11 Statistical discrepancy,16.03 Municipal solid waste (renewable),False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2463,NINTH,,,ESTO,11 Statistical discrepancy,16.04 Municipal solid waste (non-renewable),False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2464,NINTH,,,ESTO,11 Statistical discrepancy,16.05 Biogasoline,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2465,NINTH,,,ESTO,11 Statistical discrepancy,16.06 Biodiesel,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2466,NINTH,,,ESTO,11 Statistical discrepancy,17 Electricity,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2467,NINTH,,,ESTO,11 Statistical discrepancy,18 Heat,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2474,NINTH,,,ESTO,06 Stock changes,06.04 Additives/ oxygenates,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2475,NINTH,,,ESTO,11 Statistical discrepancy,06.04 Additives/ oxygenates,False,BOTH,,active_pair_row_has_blank_key
